date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-15,RS,Chiapetta,city,354,16,True,3719,4305405,9518.68782,0.0452
2021-04-15,RS,Chuí,city,317,1,True,6770,4305439,4682.42245,0.0032
2021-04-15,RS,Chuvisca,city,101,1,True,5480,4305447,1843.06569,0.0099
2021-04-15,RS,Cidreira,city,1073,54,True,16583,4305454,6470.48182,0.0503
2021-04-15,RS,Ciríaco,city,517,16,True,4719,4305504,10955.71096,0.0309
2021-04-15,RS,Colinas,city,468,1,True,2469,4305587,18955.04253,0.0021
2021-04-15,RS,Colorado,city,362,7,True,3130,4305603,11565.49521,0.0193
2021-04-15,RS,Condor,city,716,5,True,6759,4305702,10593.28303,0.007
2021-04-15,RS,Constantina,city,862,8,True,9907,4305801,8700.91854,0.0093
2021-04-15,RS,Coqueiro Baixo,city,143,2,True,1495,4305835,9565.21739,0.014
2021-04-15,RS,Coqueiros do Sul,city,82,2,True,2286,4305850,3587.05162,0.0244
2021-04-15,RS,Coronel Barros,city,239,2,True,2520,4305871,9484.12698,0.0084
2021-04-15,RS,Coronel Bicaco,city,541,27,True,7268,4305900,7443.58833,0.0499
2021-04-15,RS,Coronel Pilar,city,94,2,True,1614,4305934,5824.03965,0.0213
2021-04-15,RS,Cotiporã,city,449,4,True,3838,4305959,11698.80146,0.0089
2021-04-15,RS,Coxilha,city,268,9,True,2743,4305975,9770.32446,0.0336
2021-04-15,RS,Crissiumal,city,515,14,True,13357,4306007,3855.65621,0.0272
2021-04-15,RS,Cristal,city,595,13,True,8067,4306056,7375.72828,0.0218
2021-04-15,RS,Cristal do Sul,city,132,2,True,2844,4306072,4641.35021,0.0152
2021-04-15,RS,Cruz Alta,city,5954,139,True,59922,4306106,9936.25046,0.0233
2021-04-15,RS,Cruzaltense,city,116,3,True,1799,4306130,6448.02668,0.0259
2021-04-15,RS,Cruzeiro do Sul,city,1073,31,True,12402,4306205,8651.83035,0.0289
2021-04-15,RS,David Canabarro,city,540,8,True,4736,4306304,11402.02703,0.0148
2021-04-15,RS,Derrubadas,city,232,5,True,2761,4306320,8402.75263,0.0216
2021-04-15,RS,Dezesseis de Novembro,city,14,1,True,2378,4306353,588.73003,0.0714
2021-04-15,RS,Dilermando de Aguiar,city,84,3,True,3002,4306379,2798.13458,0.0357
2021-04-15,RS,Dois Irmãos,city,2407,53,True,33119,4306403,7267.73151,0.022
2021-04-15,RS,Dois Irmãos das Missões,city,151,2,True,2008,4306429,7519.92032,0.0132
2021-04-15,RS,Dois Lajeados,city,324,0,True,3405,4306452,9515.4185,0.0
2021-04-15,RS,Dom Feliciano,city,162,13,True,15487,4306502,1046.03861,0.0802
2021-04-15,RS,Dom Pedrito,city,2031,45,True,38339,4306601,5297.47776,0.0222
2021-04-15,RS,Dom Pedro de Alcântara,city,111,6,True,2527,4306551,4392.56035,0.0541
2021-04-15,RS,Dona Francisca,city,58,6,True,2999,4306700,1933.97799,0.1034
2021-04-15,RS,Doutor Maurício Cardoso,city,245,10,True,4462,4306734,5490.8113,0.0408
2021-04-15,RS,Doutor Ricardo,city,305,3,True,1975,4306759,15443.03797,0.0098
2021-04-15,RS,Eldorado do Sul,city,4227,102,True,41902,4306767,10087.82397,0.0241
2021-04-15,RS,Encantado,city,2101,47,True,22880,4306809,9182.69231,0.0224
2021-04-15,RS,Encruzilhada do Sul,city,1068,33,True,25960,4306908,4114.02157,0.0309
2021-04-15,RS,Engenho Velho,city,84,1,True,982,4306924,8553.97149,0.0119
2021-04-15,RS,Entre-Ijuís,city,883,17,True,8411,4306932,10498.15718,0.0193
2021-04-15,RS,Entre Rios do Sul,city,152,4,True,2758,4306957,5511.24003,0.0263
2021-04-15,RS,Erebango,city,213,1,True,2982,4306973,7142.85714,0.0047
2021-04-15,RS,Erechim,city,10534,142,True,106633,4307005,9878.74298,0.0135
2021-04-15,RS,Ernestina,city,147,4,True,3170,4307054,4637.22397,0.0272
2021-04-15,RS,Erval Grande,city,262,4,True,4819,4307203,5436.81262,0.0153
2021-04-15,RS,Erval Seco,city,452,5,True,6802,4307302,6645.10438,0.0111
2021-04-15,RS,Esmeralda,city,162,1,True,3287,4307401,4928.50624,0.0062
2021-04-15,RS,Esperança do Sul,city,217,8,True,2885,4307450,7521.66378,0.0369
2021-04-15,RS,Espumoso,city,1725,29,True,15591,4307500,11064.07543,0.0168
2021-04-15,RS,Estação,city,574,7,True,5940,4307559,9663.29966,0.0122
2021-04-15,RS,Estância Velha,city,4511,106,True,50672,4307609,8902.35238,0.0235
2021-04-15,RS,Esteio,city,8866,285,True,83279,4307708,10646.14128,0.0321
2021-04-15,RS,Estrela,city,3256,61,True,34399,4307807,9465.39144,0.0187
